,c1
1983-04,30.5
1983-05,30.16
1983-06,30.96
1983-07,31.59
1983-08,31.88
1983-09,31.24
1983-10,30.4
1983-11,29.86
1983-12,29.24
1984-01,29.65
1984-02,30.05
1984-03,30.72
1984-04,30.65
1984-05,30.55
1984-06,29.98
1984-07,28.74
1984-08,29.33
1984-09,29.38
1984-10,28.8
1984-11,28.11
1984-12,26.91
1985-01,25.64
1985-02,27.14
1985-03,28.12
1985-04,28.71
1985-05,27.58
1985-06,27.09
1985-07,27.27
1985-08,27.74
1985-09,28.22
1985-10,29.48
1985-11,30.73
1985-12,27.15
1986-01,22.98
1986-02,15.46
1986-03,12.62
1986-04,12.75
1986-05,15.26
1986-06,13.38
1986-07,11.58
1986-08,15.11
1986-09,14.94
1986-10,14.89
1986-11,15.23
1986-12,16.09
1987-01,18.67
1987-02,17.73
1987-03,18.28
1987-04,18.6
1987-05,19.33
1987-06,19.99
1987-07,21.33
1987-08,20.23
1987-09,19.52
1987-10,19.86
1987-11,18.85
1987-12,17.26
1988-01,17.15
1988-02,16.76
1988-03,16.21
1988-04,17.88
1988-05,17.45
1988-06,16.56
1988-07,15.51
1988-08,15.53
1988-09,14.46
1988-10,13.8
1988-11,13.98
1988-12,16.28
1989-01,17.98
1989-02,17.82
1989-03,19.44
1989-04,20.94
1989-05,20.03
1989-06,19.99
1989-07,19.66
1989-08,18.55
1989-09,19.59
1989-10,20.1
1989-11,19.83
1989-12,21.09
1990-01,22.64
1990-02,22.11
1990-03,20.41
1990-04,18.58
1990-05,18.46
1990-06,16.86
1990-07,18.64
1990-08,27.18
1990-09,33.69
1990-10,35.92
1990-11,32.3
1990-12,27.16
1991-01,24.7
1991-02,20.54
1991-03,19.88
1991-04,20.82
1991-05,21.25
1991-06,20.2
1991-07,21.43
1991-08,21.68
1991-09,21.86
1991-10,23.23
1991-11,22.43
1991-12,19.53
1992-01,18.82
1992-02,19.01
1992-03,18.95
1992-04,20.26
1992-05,21.0
1992-06,22.36
1992-07,21.74
1992-08,21.29
1992-09,21.92
1992-10,21.71
1992-11,20.36
1992-12,19.41
1993-01,19.07
1993-02,20.08
1993-03,20.35
1993-04,20.33
1993-05,19.98
1993-06,19.13
1993-07,17.9
1993-08,18.01
1993-09,17.52
1993-10,18.17
1993-11,16.74
1993-12,14.53
1994-01,15.02
1994-02,14.78
1994-03,14.65
1994-04,16.33
1994-05,17.83
1994-06,19.07
1994-07,19.66
1994-08,18.38
1994-09,17.47
1994-10,17.71
1994-11,18.1
1994-12,17.16
1995-01,17.99
1995-02,18.53
1995-03,18.55
1995-04,19.89
1995-05,19.74
1995-06,18.4
1995-07,17.26
1995-08,17.81
1995-09,18.21
1995-10,17.4
1995-11,18.0
1995-12,19.04
1996-01,18.7
1996-02,18.78
1996-03,21.18
1996-04,23.3
1996-05,21.09
1996-06,20.43
1996-07,21.25
1996-08,21.91
1996-09,23.93
1996-10,24.9
1996-11,23.55
1996-12,25.12
1997-01,25.18
1997-02,22.17
1997-03,20.97
1997-04,19.73
1997-05,20.87
1997-06,19.22
1997-07,19.66
1997-08,19.95
1997-09,19.78
1997-10,21.28
1997-11,20.22
1997-12,18.32
1998-01,16.73
1998-02,16.08
1998-03,15.04
1998-04,15.46
1998-05,14.93
1998-06,13.67
1998-07,14.09
1998-08,13.38
1998-09,14.97
1998-10,14.42
